"","X.2","X.1","X","N","species","family","Temperature.Index","HV","IW","LATIN_TAXON","hc_ward","Temp_Group","HV_Group","IW_Group","X.x","range_min.x","range_max.x","rhat","tau.x","Ptau.x","sens.x","Psen.x","m.x","occupancy_2005.x","occupancy_2025.x","trend.x","X.y","range_min.y","range_max.y","tau.y","Ptau.y","sens.y","Psen.y","m.y","occupancy_2005.y","occupancy_2025.y","trend.y"
"1",1,1,1,1,"Aeshna affinis","Ae",10.877,4.1,4,"Aeshna affinis",1,2,4,4,1,0.19,0.49,1.04,-0.752,0,-0.014,0,-0.013,0.46,0.25,"decrease",1,0.16,0.53,-0.771,0,-0.019,0,-0.017,0.5,0.23,"decrease"
"2",2,2,2,2,"Aeshna cyanea","Ae",8.813,3,2,"Aeshna cyanea",2,1,3,2,2,0.51,0.6,1.01,-0.714,0,-0.003,0,-0.003,0.6,0.51,"decrease",2,0.45,0.66,-0.952,0,-0.01,0,-0.009,0.66,0.45,"decrease"
"3",3,3,3,3,"Aeshna isoceles","Ae",10.379,3.7,4,"Aeshna isoceles",1,2,3,4,3,0.2,0.56,1.02,-0.943,0,-0.016,0,-0.017,0.53,0.21,"decrease",3,0.18,0.61,-0.933,0,-0.022,0,-0.021,0.58,0.2,"decrease"
"4",4,4,4,4,"Aeshna mixta","Ae",10.251,3.5,3,"Aeshna mixta",2,2,3,3,4,0.51,0.55,1.01,-0.248,0.124,-0.001,0.124,-0.001,0.55,0.54,"stable",4,0.49,0.55,-0.657,0,-0.002,0,-0.001,0.53,0.51,"decrease"
"5",5,5,5,5,"Anax ephippiger","Ae",13.05,3.5,3,"Anax ephippiger",3,3,3,3,5,0.17,0.5,1.05,0.886,0,0.015,0,0.013,0.2,0.5,"increase",5,0.09,0.5,0.962,0,0.018,0,0.017,0.1,0.5,"increase"
"6",6,6,6,6,"Anax imperator","Ae",11.398,3,1,"Anax imperator",2,3,3,1,6,0.4,0.79,1.01,0.8,0,0.003,0,0.007,0.72,0.79,"increase",6,0.38,0.78,0.524,0.001,0.001,0.001,0.005,0.74,0.77,"increase"
"7",7,7,7,7,"Anax parthenope","Ae",11.823,3.5,3,"Anax parthenope",3,3,3,3,7,0.53,0.72,1,0.8,0,0.01,0,0.008,0.57,0.72,"increase",7,0.52,0.71,0.8,0,0.01,0,0.008,0.57,0.71,"increase"
"8",8,8,8,8,"Boyeria irene","Ae",12.526,1.3,4,"Boyeria irene",4,3,1,4,8,0.09,0.17,1.03,0.514,0.001,0.003,0.001,0.001,0.14,0.17,"increase",8,0.09,0.17,0.476,0.003,0.002,0.003,0.002,0.12,0.17,"increase"
"9",9,9,9,9,"Calopteryx splendens","Ca",9.391,1.1,4,"Calopteryx splendens",4,2,1,4,9,0.77,0.88,1.01,-0.895,0,-0.005,0,-0.005,0.86,0.77,"decrease",9,0.78,1,-0.705,0,-0.004,0,-0.006,0.9,0.79,"decrease"
"10",10,10,10,10,"Calopteryx virgo","Ca",8.946,1,5,"Calopteryx virgo",4,1,1,5,10,0.48,0.56,1.02,-0.467,0.003,-0.002,0.003,-0.003,0.54,0.48,"decrease",10,0.45,0.57,-0.838,0,-0.005,0,-0.005,0.56,0.45,"decrease"
"11",11,11,11,11,"Ceriagrion tenellum","Co",12.199,3.3,3,"Ceriagrion tenellum",3,3,3,3,11,0.22,0.26,1.03,0.143,0.381,0,0.381,0,0.24,0.25,"stable",11,0.21,0.27,-0.333,0.037,-0.001,0.037,0,0.24,0.23,"decrease"
"12",12,12,12,12,"Chalcolestes viridis","Le",10.616,2.5,1,"Chalcolestes viridis",2,2,2,1,12,0.51,0.77,1.02,-0.943,0,-0.008,0,-0.01,0.71,0.51,"decrease",12,0.44,0.79,-0.971,0,-0.014,0,-0.015,0.79,0.44,"decrease"
"13",13,13,13,13,"Coenagrion puella","Co",9.297,3.2,1,"Coenagrion puella",2,2,3,1,13,0.44,0.82,1,-0.962,0,-0.01,0,-0.013,0.72,0.45,"decrease",13,0.42,0.92,-0.971,0,-0.013,0,-0.018,0.8,0.42,"decrease"
"14",14,14,14,14,"Coenagrion pulchellum","Co",8.303,3.5,3,"Coenagrion pulchellum",1,1,3,3,14,0.06,0.31,1.03,-1,0,-0.012,0,-0.012,0.3,0.06,"decrease",14,0.03,0.74,-1,0,-0.018,0,-0.027,0.6,0.03,"decrease"
"15",15,15,15,15,"Coenagrion scitulum","Co",12.061,3.2,3,"Coenagrion scitulum",3,3,3,3,15,0.04,0.16,1.02,0.943,0,0.006,0,0.005,0.04,0.16,"increase",15,0,0.16,0.99,0,0.007,0,0.007,0.01,0.16,"increase"
"16",16,16,16,16,"Cordulegaster boltonii","Cr",8.769,1,5,"Cordulegaster boltonii",4,1,1,5,16,0.27,0.31,1.01,0.248,0.124,0,0.124,0,0.29,0.29,"stable",16,0.23,0.58,-0.914,0,-0.007,0,-0.011,0.47,0.23,"decrease"
"17",17,17,17,17,"Cordulia aenea","Cd",7.348,3.5,3,"Cordulia aenea",1,1,3,3,17,0.16,0.44,1.08,-0.886,0,-0.005,0,-0.009,0.34,0.16,"decrease",17,0.17,0.56,-0.238,0.139,-0.003,0.139,-0.01,0.42,0.2,"stable"
"18",18,18,18,18,"Crocothemis erythraea","Li",12.202,3,2,"Crocothemis erythraea",3,3,3,2,18,0.65,0.82,1,0.771,0,0.004,0,0.005,0.7,0.81,"increase",18,0.55,0.82,0.857,0,0.006,0,0.009,0.63,0.81,"increase"
"19",19,19,19,19,"Enallagma cyathigerum","Co",8.463,3.2,2,"Enallagma cyathigerum",2,1,3,2,19,0.19,0.26,1,0.314,0.05,0.001,0.05,0.002,0.21,0.25,"stable",19,0.18,0.25,0.238,0.139,0.001,0.139,0.001,0.21,0.24,"stable"
